,ts_code,name,enname,classify,list_date,delist_date
68,AAIGF,,AIA GROUP (OTC),EQ,20101214,NaT
69,AAIIQ,,ALABAMA AIRCRAFT INDS.,EQ,19870507,NaT
70,AAIRF,,AMERICAN AIRES (OTC),EQ,20200115,NaT
71,AAL,,AMERICAN AIRLINES GROUP,EQ,20131209,NaT
72,AALBF,,AALBERTS (OTC),EQ,20130708,NaT
73,AAMAF,,ATLAS MARA CO-NVEST(OTC),EQ,20140213,NaT
74,AAMC,,ALTISOURCE ASSET MAN.,EQ,20121213,NaT
75,AAME,,ATLANTIC AMERICAN,EQ,19721214,NaT
76,AAMMF,,ALMADEX MINERALS (OTC),EQ,20180531,NaT
77,AAMPRA,,APO.ASTMGMT.6 375 PREF. SR.A,EQ,20170301,
78,AAMPRB,,APO.ASTMGMT.6 375 PREF. SR.B,EQ,20180313,
79,AAMTF,,ARMADA MERCANTILE (OTC),EQ,20141117,NaT
80,AAN,,AARON S COMPANY,EQ,20201125,NaT
81,AANNF,,AROUNDTOWN (OTC),EQ,20191025,NaT
82,AAOI,,APPLIED OPTOELECTRONICS,EQ,20130927,NaT
83,AAON,,AAON,EQ,19880526,NaT
84,AAP,,ADV.AUTO PARTS,EQ,20011121,NaT
85,AAPI,,APPLE ISPORTS GROUP,EQ,19861022,NaT
86,AAPJ,,AAP,EQ,19960808,NaT
87,AAPL,,APPLE,EQ,19801212,NaT
88,AAPT,,ALL AMERICAN PET,EQ,20070425,NaT
89,AAQL,,ANTIAGING QUANTUM LIVING,EQ,20211019,NaT
90,AARTY,,AIRTEL AF.UNSP. AMER. DPREC.1:10,ADR,20220519,NaT
91,AASL,,AMERICAS SUPPLIERS,EQ,20091214,
92,AASP,,GLOBAL ACQUISITIONS,EQ,20110223,NaT
93,AASZF,,ATLANTIC SAPPHIRE (OTC),EQ,20180502,NaT
94,AAT,,AMERICAN ASSETS TRUST,EQ,20110113,NaT
95,AATC,,AUTOSCOPE TECHNOLOGIES,EQ,19950505,NaT
96,AATGF,,ATI AIRTEST TECHS. (OTC),EQ,20140113,NaT
97,AATV,,ADAPTIVE AD SYSTEMS,EQ,20010821,NaT
98,AAUAF,,ALMADEN MINERALS (OTC),EQ,20051219,NaT
99,AAUCF,,ALLIED GOLD (OTC),EQ,20231109,NaT
100,AAUGF,,AERO ENERGY (OTC),EQ,20210322,NaT
101,AAUKF,,ANGLO AMERICAN (OTC),EQ,20140113,NaT
102,AAVMY,,ABN AMRO BK N V AMSTD. BRH UNSP.NETH.ADR 1:1,ADR,20190809,NaT
103,AAVVF,,ADVANTAGE ENERGY (OTC),EQ,20051212,NaT
104,AAVXF,,ABIVAX (OTC),EQ,20160930,NaT
105,AAWH,,ASCEND WELLNESS (OTC) HOLDINGS A,EQ,20210526,NaT
106,AAXT,,AAMAXAN TRANSPORT GROUP,EQ,19930928,NaT
107,AAYYY,,AUSTRALIAN AGRICULTURAL UNSP.ADR,ADR,20220330,NaT
108,AB,,ALLIANCEBERNSTEIN HLDG. UNT.,EQ,19880414,NaT
109,ABANF,,AUTOMATIC BANK (OTC) SERVICES,EQ,20201013,NaT
110,ABAT,,AMERICAN BATTERY TECHNOLOGY COMPANY,EQ,20160614,NaT
111,ABBB,,AUBURN BANCORP,EQ,20080818,NaT
112,ABBNY,,ABB ADR 1:1 (OTC),ADR,20010406,NaT
113,ABBRF,,ABRASILVER RESOURCE(OTC),EQ,20170330,NaT
114,ABBV,,ABBVIE,EQ,20121210,NaT
115,ABBY,,ABBY,EQ,20120904,NaT
116,ABCAF,,ATHABASCA MRLS. (OTC),EQ,20131118,NaT
117,ABCB,,AMERIS BANCORP,EQ,19940518,NaT
118,ABCCF,,ABC ARBITRAGE (OTC),EQ,20240328,NaT
119,ABCE,,ABCO ENERGY,EQ,20040819,NaT
120,ABCFF,,ABACUS MNG.& EXP. (OTC),EQ,20140113,NaT
121,ABCGF,,ABACUS PROPERTY (OTC) GROUP UNIT DEFERRED,EQ,20210126,NaT
122,ABCL,,ABCELLERA BIOLOGICS,EQ,20201211,NaT
123,ABCM,,ABCAM ADR 1:1,ADR,20201022,
124,ABCP,,AMBASE,EQ,20110223,NaT
125,ABCZF,,ABCAM (OTC),EQ,20110411,NaT
126,ABDBY,,ALM BRAND A S DENMARK ADR 1:2,ADR,20211111,NaT
127,ABDDF,,AB DYNAMICS (OTC),EQ,20180702,NaT
128,ABDR,,AMBASSADOR FOOD,EQ,19721214,
129,ABDXF,,ABINGDON HEALTH (OTC),EQ,20220819,NaT
130,ABENU,,ADVANCED BIOENERGY UNT.,EQ,20161102,NaT
131,ABEO,,ABEONA THERAPEUTICS,EQ,20120724,NaT
132,ABEPF,,VISION LITHIUM (OTC),EQ,20171214,NaT
133,ABEV,,AMBEV SPONSORED ADR 1:1,ADR,20131111,NaT
134,ABFOF,,ABERTIS INFSTS. (OTC),EQ,20140113,NaT
135,ABG,,ASBURY AUTOMOTIVE GP.,EQ,20020308,NaT
136,ABGOF,,ABENGOA (OTC),EQ,20140113,NaT
137,ABGSF,,ABG SUNDAL CLI. (OTC) HLDG.,EQ,20140113,NaT
138,ABHBY,,ALFEN BEHEER B V NETHERLANDS ADR 2:1,ADR,20230105,NaT
139,ABILF,,ABILITY,EQ,20140205,NaT
140,ABIO,,ARCA BIOPHARMA,EQ,19970807,NaT
141,ABIT,,ATHENA BITCOIN GLOBAL,EQ,19940126,NaT
142,ABKB,,AMERICAN BBALL.AS.,EQ,20060927,
143,ABL,,ABACUS LIFE A,EQ,20200914,NaT
144,ABLE,,ABLE ENERGY,EQ,19990622,NaT
145,ABLGF,,ALTEN (OTC),EQ,20240205,NaT
146,ABLLW,,ABACUS LF.EQ.WARRT. EXP WARRANT 30 JE.2028,EQ,20200914,NaT
147,ABLT,,AMER.BILTRITE,EQ,20120127,NaT
148,ABLV,,ABLE VIEW GLOBAL B,EQ,20220912,NaT
149,ABLVW,,ABLE VIEW GLEQ. WARRT. EXP 18 AUG.2028,EQ,20220912,NaT
150,ABLZF,,ABB (OTC),EQ,20100512,NaT
151,ABM,,ABM INDS.,EQ,19690213,NaT
152,ABMAF,,ALBIOMA (OTC),EQ,20201117,
153,ABMBF,,ABCOURT MINES (OTC),EQ,20140113,NaT
154,ABMC,,AMERICAN BIO MEDICA,EQ,19901002,NaT
155,ABMRF,,ABN AMRO BANK (OTC),EQ,20170425,NaT
156,ABMT,,ADVANCED BIOMED.TECHS.,EQ,20070731,NaT
157,ABNAF,,ABEN MINERALS (OTC),EQ,20140113,NaT
158,ABNB,,AIRBNB A,EQ,20201210,NaT
159,ABOIF,,ABOITIZ EQUITY (OTC) VENTURES PHP1,EQ,20210408,NaT
160,ABOS,,ACUMEN PHARMACEUTICALS,EQ,20210701,NaT
161,ABPR,,AIRBORNE SCTY.& PROTECT. SVS.NEW,EQ,19961209,NaT
162,ABQQ,,AB INTL GROUP,EQ,20160323,NaT
163,ABR,,ARBOR REALTY TST.,EQ,20040406,NaT
164,ABRMF,,ARBOR METALS (OTC),EQ,20220228,NaT
165,ABRPRD,,ARBOR REALTY TRUST PREF. SERIES D,EQ,20210526,NaT
166,ABRPRE,,ARBOR RLTY PREF. SERIES E,EQ,20210809,NaT
167,ABRPRF,,ARBOR REAL.TST.6.25 CUM. PREF. SR.F,EQ,20211018,NaT
168,ABSCF,,AB SCIENCE (OTC),EQ,20110909,NaT
169,ABSI,,ABSCI,EQ,20210722,NaT
170,ABSOF,,ABS CBN HDG. (OTC) PHILLIPINE DPREC.,EQ,20140508,NaT
171,ABSSF,,AIRBOSS OF AMERICA CORP.,EQ,20140113,NaT
172,ABST,,ABSOLUTE SOFTWARE (NAS),EQ,20140113,
173,ABT,,ABBOTT LABORATORIES,EQ,19620702,NaT
174,ABTI,,ALTEROLA BIOTECH,EQ,20101203,NaT
175,ABTO,,AB T FINANCIAL,EQ,20120724,NaT
176,ABTS,,ABITS GROUP,EQ,20160602,NaT
177,ABTZY,,ABOITIZ EQUITY VENTURES ADR 1:10,ADR,20130603,NaT
178,ABUS,,ARBUTUS BIOPHARMA (NAS),EQ,20101115,NaT
179,ABVC,,ABVC BIOPHARMA,EQ,20041109,NaT
180,ABVE,,BITE ACQUISITION (NAS),EQ,20210406,NaT
181,ABVG,,AFFINITY BEVERAGE GP.,EQ,20001016,NaT
182,ABVN,,ABV CONSULTING,EQ,20160916,NaT
183,ABVX,,ABIVAX AMERICAN DEPOSITARY SHARES 1:1,ADR,20231020,NaT
184,ABWN,,AIRBORNE WIRELESS NET.,EQ,20151019,NaT
185,ABXXF,,ABAXX TECHNOLOGIES (OTC),EQ,20201221,NaT
186,ABZPF,,ABOITIZ POWER (OTC),EQ,20110707,NaT
187,ABZPY,,ABOITIZ POWER ADR 1:20,ADR,20121217,NaT
188,ABZT,,ABLAZE TECHS.,EQ,20040415,NaT
189,ABZUF,,ABZU GOLD (OTC),EQ,20110119,NaT
190,AC,,ASSOCIATED CAPITAL GROUP,EQ,20151109,NaT
191,ACA,,ARCOSA,EQ,20181030,NaT
192,ACAB,,ATLANTIC COASTAL ACQUISITION II A,EQ,20220309,NaT
193,ACABU,,ATLANTIC COASTAL ACQUISITION II UNITS,EQ,20220114,NaT
194,ACABW,,ATL.CSTA.ACQ.II EQ. WARRT.EXP 13TH JAN 2027,EQ,20220307,NaT
195,ACAC,,ACRI CAPITAL ACQUISITION A,EQ,20220808,NaT
196,ACACU,,ACRI CAPITAL ACQUISITION UNITS,EQ,20220610,NaT
197,ACAD,,ACADIA PHARMACEUTICALS,EQ,20040527,NaT
198,ACAGF,,ARCANDOR (OTC),EQ,20231228,NaT
199,ACAH,,ATLANTIC COASTAL ACQUISITION A,EQ,20210428,
200,ACAHU,,ATLANTIC COASTAL ACQUISITION UNITS,EQ,20210304,
201,ACAHW,,ATL.CSTA.ACQ.EQ. WARRT. EXP 02 MA.2026,EQ,20210429,
202,ACAI,,SAFEPLUS INTERNATIONAL HOLDINGS,EQ,20010727,NaT
203,ACAN,,AMERICANN,EQ,20140710,NaT
204,ACAQ.U,,ATHENA CONSUMER (ASE) ACQUISITION UNITS,EQ,20211020,
205,ACAVF,,ACE AVIATION HDG. (OTC),EQ,20140227,
206,ACAXU,,ALSET CAPITAL ACQUISITION UNITS,EQ,20220201,
207,ACAXW,,ALSET CAP.ACQ.EQ. WARRT. EXP 31ST JAN 2027,EQ,20220324,
208,ACAZF,,ACADIAN TIMBER (OTC),EQ,20100427,NaT
209,ACB,,AURORA CANNABIS (NAS),EQ,20140711,NaT
210,ACBA,,ACE GLOBAL BUSINESS ACQUISITION,EQ,20210526,NaT
211,ACBAU,,ACE GLOBAL BUSINESS ACQUISITION UNITS,EQ,20210406,NaT
212,ACBAW,,ACE GLB.BUS.ACQ.EQ. WARRT.EXP 26 MA.2026,EQ,20210521,NaT
213,ACBCQ,,ALBINA COMMUNITY BANC.,EQ,19970818,NaT
214,ACBD,,ANNABIDIOL,EQ,19950524,NaT
215,ACBM,,ARCO BIOMEDICAL,EQ,20180412,NaT
216,ACCA,,ACACIA DIVERSIFIED HDG.,EQ,19980910,NaT
217,ACCD,,ACCOLADE,EQ,20200702,NaT
218,ACCFF,,ACCORD FINANCIAL (OTC),EQ,20150805,NaT
219,ACCMF,,AAC CLYDE SPACE (OTC),EQ,20190319,NaT
220,ACCO,,ACCO BRANDS,EQ,20050805,NaT
221,ACCR,,ACCESS POWER AND,EQ,19971222,NaT
222,ACCUF,,AIB ACQUISITION UNITS,EQ,20220119,NaT
223,ACCYY,,ACCOR SPONSORED FRANCE ADR 5:1,ADR,20081016,NaT
224,ACDC,,PROFRAC HOLDING A,EQ,20220513,NaT
225,ACDSF,,CAPITALAND ASCENDAS(OTC) REIT,EQ,20140113,NaT
226,ACDVF,,AIR CANADA VOTING (OTC) AND VARIABLE VOTING,EQ,20101219,NaT
227,ACDXF,,AMERICAN COPPER (OTC) DEVELOPMENT,EQ,20230316,NaT
228,ACEEU,,ACE ETHANOL UNT.,EQ,20140829,NaT
229,ACEHF,,ASPIRASI HIDUP (OTC) INDONESIA,EQ,20110520,NaT
230,ACEIY,,ACER 144A GDR,GDR,20101005,NaT
231,ACEJF,,ACEA (OTC),EQ,20191115,NaT
232,ACEL,,ACCEL ENTERTAINMENT A 1,EQ,20170824,NaT
233,ACENY,,ASCENTIAL ADR 1:2,ADR,20220516,NaT
234,ACER,,ACER THERAPEUTICS,EQ,20000307,
235,ACET,,ADICET BIO,EQ,20180126,NaT
236,ACEYY,,ACER (GDR) GDR REG (OTC) S,GDR,20100712,NaT
237,ACFL,,AMC FINANCIAL HDG.,EQ,19991007,NaT
238,ACFN,,ACORN ENERGY,EQ,19920211,NaT
239,ACGAF,,ACG ACQUISITION A (OTC),EQ,20240207,NaT
240,ACGBF,,AGRICULTURAL BANK (OTC) OF CHINA 'H',EQ,20100927,NaT
241,ACGBY,,AGRI.BOC.UNSP.CHIN. ADR 1:25,ADR,20110124,NaT
242,ACGI,,AMACORE GROUP 'A',EQ,19950825,NaT
243,ACGJ,,ACI GLB.,EQ,19981019,NaT
244,ACGL,,ARCH CAP.GP.,EQ,19950817,NaT
245,ACGLN,,ARCH CAPITAL GROUP DEPOSITARY SHARES,EQ,20210603,NaT
246,ACGLO,,ACRH CAP GROUP 1000 DEP,EQ,20170816,NaT
247,ACGN,,ACERAGEN,EQ,19960125,
248,ACGPF,,ACCELL GROUP (OTC),EQ,20110228,
249,ACGX,,ALLIANCE CREATIVE GROUP,EQ,19980902,NaT
250,ACGYF,,SUBSEA 7 (OTC),EQ,20060410,NaT
251,ACHC,,ACADIA HEALTHCARE CO.,EQ,20111103,NaT
252,ACHFF,,ARCH BIOPARTNERS,EQ,19600101,NaT
253,ACHHY,,ALMN.CORP.OFCH.ADR RE 1:25,ADR,20011130,
254,ACHKF,,ACHIKO AG IN (OTC) LIQUIDATION,EQ,20201008,NaT
255,ACHL,,ACHILLES THERP. AMER. DEPY.SHS.1:1 ADR,ADR,20210331,NaT
256,ACHR,,ARCHER AVIATION A,EQ,20201218,NaT
257,ACHV,,ACHIEVE LIFE SCIENCES,EQ,19951012,NaT
258,ACI,,ALBERTSONS COMPANY A,EQ,20200627,NaT
259,ACIC,,AMERICAN COASTAL INSURANCE,EQ,20071107,NaT
260,ACIRF,,AIMS APAC REIT (OTC),EQ,20110930,NaT
261,ACITF,,ASIAN CITRUS (OTC) HOLDINGS,EQ,20050718,NaT
262,ACIU,,AC IMMUNE,EQ,20160923,NaT
263,ACIW,,ACI WORLDWIDE,EQ,19950224,NaT
264,ACIXF,,ACARIX (OTC),EQ,20221207,NaT
265,ACJJF,,ACOM (OTC),EQ,20140113,NaT
266,ACKAF,,ARCELIK (OTC),EQ,20181003,NaT
267,ACKAY,,ARCELIK A S UNSP. TURKEY ADR 1:5,ADR,20081028,NaT
268,ACKDF,,AUCKLAND INTL. (OTC) AIRPORT,EQ,20140113,NaT
269,ACKRF,,AMERICAN CREEK (OTC) RESOURCES A,EQ,20140113,NaT
270,ACLEW,,ALTERNUS CLEAN ENERGY EQUITY WARRANT,EQ,20240208,NaT
271,ACLHF,,ACME LITHIUM (OTC),EQ,20210608,NaT
272,ACLIF,,ACCELLERON N (OTC),EQ,20221007,NaT
273,ACLLF,,ATCO CLASS 1 (OTC),EQ,20140113,NaT
274,ACLLY,,ACCELLERON INDS ADR 1:1,ADR,20221004,NaT
275,ACLS,,AXCELIS TECHS.,EQ,20000704,NaT
276,ACLTF,,ATCO CLASS 2 (OTC),EQ,20140113,NaT
277,ACLX,,ARCELLX,EQ,20220204,NaT
278,ACM,,AECOM,EQ,20070510,NaT
279,ACMB,,AGRO CAPITAL MAN.,EQ,20160602,NaT
280,ACMDY,,ATLAS CONS.MNG.& DEV. UNSP.ADR 1:20,ADR,20181207,NaT
281,ACMLF,,ASCOM (OTC),EQ,20191227,NaT
282,ACMNF,,ARC MINERALS (OTC),EQ,20240430,NaT
283,ACMR,,ACM RESEARCH CL.A,EQ,20171103,NaT
284,ACMSY,,ACCUSTEM SCIENCES ADR 1:2,ADR,20210715,NaT
285,ACMT,,ACMAT,EQ,19721214,NaT
286,ACMTA,,ACMAT 'A',EQ,19870831,NaT
287,ACN,,ACCENTURE CLASS A,EQ,20010719,NaT
288,ACNB,,ACNB,EQ,19901017,NaT
289,ACNDF,,CAPITALAND INDIA (OTC) UNITS,EQ,20070717,NaT
290,ACNE,,ALICE CONS.MINES,EQ,19750131,NaT
291,ACNFF,,ACOMO (OTC),EQ,20120504,NaT
292,ACNI,,AMERICAN CMTY.NWSP.,EQ,20050727,NaT
293,ACNNF,,AUSCANN GROUP HDG. (OTC),EQ,20170210,NaT
294,ACNT,,ASCENT INDUSTRIES,EQ,19660608,NaT
295,ACNV,,ACCELERA INNOVATIONS,EQ,20150127,NaT
296,ACOGF,,ALPHA COGNITION (OTC),EQ,20210628,NaT
297,ACOLF,,ADASTRIA (OTC),EQ,20240404,NaT
298,ACON,,ACLARION,EQ,20220422,NaT
299,ACONW,,ACLARION EQUITY WARRANT EXP 1ST DEC 2026,EQ,20220422,NaT
300,ACOPF,,THE A2 MILK COMPANY(OTC),EQ,20130426,NaT
301,ACOPY,,A2 MILK ADR 1:1,ADR,20190521,NaT
302,ACORQ,,ACORDA THERAPEUTICS,EQ,20060208,NaT
303,ACPIF,,ACEN CORPORATION (OTC),EQ,20140115,NaT
304,ACPS,,AC PARTNERS,EQ,20020308,NaT
305,ACR,,ACRES COMMERCIAL REALTY,EQ,20060118,NaT
306,ACRB,,ASIA CARBON INDUSTRIES,EQ,20101220,NaT
307,ACRDF,,ACREAGE HDG.FLTNG. (OTC) SUBD.VTG.D,EQ,20200928,NaT
308,ACRE,,ARES COMMERCIAL RLST.,EQ,20120426,NaT
309,ACRFF,,ACCOR (OTC),EQ,20140113,NaT
310,ACRG,,AMERICAN CLEAN RESOURCES GROUP,EQ,20050414,NaT
311,ACRHF,,ACREAGE HDG.FXD. (OTC) SUBD.VTG.E,EQ,20200928,NaT
312,ACRL,,ATACAMA RESOURCES INTL.,EQ,20160518,NaT
313,ACRO,,ACROPOLIS INFR.ACQ. A,EQ,20210830,
314,ACRO.U,,ACROPOLIS INFR.ACQ. UTS.,EQ,20210709,
315,ACRPRC,,ACR.COML.REAL.8 625 FXD. TO FLTNG.CUM.RED.,EQ,20170918,NaT
316,ACRPRD,,ACRES COML RLTY PREF.,EQ,20210517,NaT
317,ACRS,,ACLARIS THERAPEUTICS,EQ,20151007,NaT
318,ACRU,,AMERICREW,EQ,19950804,NaT
319,ACRV,,ACRIVON THERAPEUTICS,EQ,20221115,NaT
320,ACRXF,,ACERINOX 'R' (OTC),EQ,20140113,NaT
321,ACSAF,,ACS ACTIV.CONSTR.Y (OTC) SERV.,EQ,20140113,NaT
322,ACSAY,,ACS ACTIV.DE CONSTR.Y SERV.ADR 5:1,ADR,20140520,NaT
323,ACST,,ACASTI PHARMA,EQ,20110506,NaT
324,ACSYF,,ACCSYS TECHNOLOGIES(OTC),EQ,20140113,NaT
325,ACT,,ENACT HOLDINGS,EQ,20210916,NaT
326,ACTG,,ACACIA RESH.-ACI.TECHS.,EQ,20021216,NaT
327,ACTHF,,ADURO CLEAN (OTC) TECHNOLOGIES,EQ,20210723,NaT
328,ACTL,,ARTEC GLOBAL MEDIA,EQ,20160602,NaT
329,ACTX,,ADVANCED CONTAINER TECHNOLOGIES,EQ,19981015,NaT
330,ACU,,ACME UNITED,EQ,19721214,NaT
331,ACUR,,ACURA PHARMACEUTICALS,EQ,19860314,NaT
332,ACUS,,ACUSPHERE,EQ,20030714,NaT
333,ACUT,,ACCUSTEM SCIENCES,EQ,20220302,NaT
334,ACV,,VIRTUS DIVR.INC.&. CV. FD.,EQ,20150522,NaT
335,ACVA,,ACV AUCTIONS A,EQ,20210324,NaT
336,ACWRF,,ACCELEWARE (OTC),EQ,19600101,NaT
337,ACXIF,,ACCIONA (OTC),EQ,20140113,NaT
338,ACXP,,ACURX PHARMACEUTICALS,EQ,20210625,NaT
339,ADAD,,HUAIZHONG HEALTH GROUP,EQ,20150611,NaT
340,ADAG,,ADAGENE 4 ADR 4:5,ADR,20210209,NaT
341,ADAP,,ADAPTIMMUNE THERAPEUTICS ADR 1:6,ADR,20150506,NaT
342,ADBCF,,ADBRI (OTC),EQ,20071010,NaT
343,ADBE,,ADOBE (NAS),EQ,19860813,NaT
344,ADBGF,,ADORE BEAUTY GROUP (OTC),EQ,20210310,
345,ADBKF,,ADDIKO BANK (OTC),EQ,20190923,NaT
346,ADBMF,,AUDIOBOOM GROUP (OTC),EQ,20220217,NaT
347,ADBN,,AMERICANA DISTRIBUTION,EQ,19950503,NaT
348,ADBRF,,ALDEBARAN RESOURCES(OTC),EQ,20190904,NaT
349,ADC,,AGREE REALTY,EQ,19940415,NaT
350,ADCNF,,ADICON HOLDINGS (OTC),EQ,20240122,NaT
351,ADCOF,,ADCORE (OTC),EQ,20200127,NaT
352,ADCPRA,,AGREE RLTY 1000 DEP,EQ,20210915,NaT
353,ADCT,,ADC THERAPEUTICS,EQ,20200515,NaT
354,ADCUF,,ADS MARITIME (OTC) HOLDING,ADR,20200420,NaT
355,ADCV,,AD CAPITAL US,EQ,20040525,NaT
356,ADD,,COLOR STAR TECHNOLOGY A,EQ,20070621,NaT
357,ADDC,,ADDMASTER,EQ,20131003,NaT
358,ADDDF,,ADIDAS AG (OTC),EQ,19951013,NaT
359,ADDHY,,ADDTECH 2 UNSPONSORED ADR 2:1,ADR,20230208,NaT
360,ADDLF,,ADDLIFE B (OTC),EQ,20190321,NaT
361,ADDYY,,ADIDAS ADR 2:1,ADR,20041231,NaT
362,ADEA,,ADEIA,EQ,20031021,NaT
363,ADEC,,ALTERNATIVE EN.DEV.,EQ,20101005,NaT
364,ADER,,26 CAPITAL ACQUISITION A,EQ,20210308,
365,ADERU,,26 CAPITAL ACQUISITION UNITS,EQ,20210115,
366,ADERW,,26 CAP.ACQ.EQ. WARRT.EXP 31 DEC 2027,EQ,20210309,
367,ADERY,,AIDA ENGR.ADR 1:10,ADR,20130114,NaT
368,ADEVF,,ADEVINTA (OTC),EQ,20200113,NaT
369,ADEVY,,ADEVINTA ASA UNSPONSORED ADR 2:1,ADR,20220321,NaT
370,ADEX,,ADIT EDTECH ACQUISITION,EQ,20210303,
371,ADEX.U,,ADIT EDTECH ACQ.RED.UTS.,EQ,20210112,
372,ADFJF,,ADF GP. (OTC),EQ,19600101,NaT
373,ADFS,,AMERICAN DEFENSE SYS.,EQ,20111201,NaT
374,ADGCF,,ADVANCE LITHIUM (OTC),EQ,20201216,NaT
375,ADGL,,ALLDIGITAL HOLDINGS,EQ,20120312,NaT
376,ADGO,,ADVANTEGO,EQ,19950221,NaT
377,ADHC,,AMERICAN DIVR.HOLDINGS,EQ,20030916,NaT
378,ADHG,,ANDO HOLDINGS,EQ,20170512,
379,ADHI,,ARSENAL DIGITAL HOLDINGS,EQ,20050218,NaT
380,ADHLF,,APPLIED DEV.HDG. (OTC),EQ,19890117,NaT
